1. Please list your name and affiliation as you want them to appear.,,,,,,,,,,,,,,,
2. Please indicate your labid if your lab submitted data.,,,,,,,,,,,,,,,
"3. For each of the contribution categories, please indicate M for moderate contribution or S for significant contribution (leave blank if no contribution). ",,,,,,,,,,,,,,,
We will alphabetize by last name after we get all contributions. ,,,,,,,,,,,,,,,
Author Last Name,Author First Name,Affiliation,labid,Grant acknowledgment(s),I CERTIFY THAT MY DATA-COLLECTION DECISIONS WERE MADE INDEPENDENT OF STUDY RESULTS.,Early Concept,Study Design,Protocol Code/Script,Documentation,Study Management,Data Collection,Data Analysis,Stage 1 Manuscript,Stage 2 Manuscript,Other (briefly describe)
Byers-Heinlein,Krista,Concordia University,irl-concordia,Natural Sciences and Engineering Research Council of Canada (402470-2011),Y,S,S,M,S,S,S,S,S,S,
Polka,Linda ,McGill University ,isplab-mcgill,Social Sciences and Humanities Research Council of Canada (435-2015-0385) ,Y ,,,,,,S,,,,
Orena,Adriel John ,McGill University ,isplab-mcgill,Social Sciences and Humanities Research Council of Canada (435-2015-0385) ,y,,,,,,S,,,,
Kerr ,Shila,McGill University ,isplab-mcgill,Social Sciences and Humanities Research Council of Canada (435-2015-0385) ,y,,,,,,S,,,,
Lew-Williams,Casey,Princeton University,babylab_princeton,National Institute of Child Health and Human Development (R01HD095912),Y,,M,,,,S,,M,M,
Singh,Leher,National University of Singapore,nuslab,"ODPRT funds, National University fo Singapore",Y,,,,,,S,,M,?,
Frank,Michael C. ,Stanford University,,,,S,S,,,,,S,M,S,
Sundara,Megha,UCLA,langlab-ucla,,Y,,,,,,S,,,,
Mateu,Victoria,UCLA,langlab-ucla,,Y,,,,,,S,,,,
Potter,Christine E.,Princeton University,babylab_princeton,,Y,,,,,,S,,,,
Tsui ,Angeline Sin Mei,Stanford University,,,Y,,,,,,S,S,,S,Please note that I collected data at ldl-Ottawa
Hamlin,J. Kiley,University of British Columbia,InfantCog-UBC,Natural Sciences and Engineering Research Council of Canada (2016-03775),Y,,,,,,S,,M,M,
Soderstrom,Melanie,University of Manitoba,bll-umanitoba,"Research Manitoba, Children's Hospital Research Institute of Manitoba, University of Manitoba",Y,M,M,,,,M,,M,M,
Klassen,Kelsey,University of Manitoba,bll-umanitoba,,,,S (stimuli),,,,S,,,,
Durrant,Samantha,University of Liverpool,lll-liv,ESRC ES/L008955/1,Y,,,,,,S,,,,
Noble,Claire,University of Liverpool,lll-liv,ESRC ES/L008955/1,Y,,,,,,S,,,,
Brown,Anna,University of Liverpool,lll-liv,ESRC ES/L008955/1,Y,,,,,,S,,,,
Gonzalez-Gomez,Nayeli,Oxford Brookes University,brookes-babylab,The Leverhulme Trust (ECF-2015-009),Y,,,,,,S,,S,S,
Gervain,Judit,"Integrative Neuroscience and Cognition Center (INCC), CNRS & Université Paris Descartes",paris descartes_manybabies 1_bilinguals,"ERC Consolidator Grant ""BabyRhythm"" 773202",Y,M,M,,,,S,,M,M,
Marino,Caterina,"Integrative Neuroscience and Cognition Center (INCC), CNRS & Université Paris Descartes",paris descartes_manybabies 1_bilinguals,"ERC Consolidator Grant ""BabyRhythm"" 773202",Y,,,,,,S,,,,
Fennell,Christopher T.,University of Ottawa,ldl-ottawa,Social Sciences and Humanities Research Council of Canada,Y,,,,,,S,,M,M,Aided in protocols and tracking on bilingual exposure measures - unsure which column that falls under
Gampe,Anja,University of Zurich,weltentdecker-zurich,,Y,,,,,,S,,,,
Liu,Liquan,Western Sydney University; University of Oslo,wsu: kw,Western Sydney University Early Career Researcher Start-up Grant (20311.87608); European Commission (MSCA-IF-798658),Y,,,,,,S,,,S,
Waddell,Connor,Western Sydney University,wsu: kw,,Y,,,,,,S,,,,
Kovács,Ágnes Melinda,Central European University,cdc-ceu,,Y,,,,,,,,,,
Hernik,Mikołaj,UiT The Arctic University of Norway,cdc-ceu,"European Research Council Synergy Grant, SOMICS (609819)",Y,,,,,,S,,,,
Mastroberardino,Meghan,Concordia University,irl-concordia,Natural Sciences and Engineering Research Council of Canada (402470-2011),Y,,S,,,,S,,,,
Carbajal,Maria Julia,"ENS, EHESS, CNRS, PSL University",lscp-psl,"ANR-17-EURE-0017, ANR-10-IDEX-0001-02",,,,,,,,,M,,
Havron,Naomi,"ENS, EHESS, CNRS, PSL University",lscp-psl,"ANR-17-EURE-0017, ANR-10-IDEX-0001-02",Y,,,,,,S,,,,
Fiévet,Anne-Caroline,"ENS, EHESS, CNRS, PSL University",lscp-psl,"ANR-17-EURE-0017, ANR-10-IDEX-0001-02",Y,,,,,,S,,,,
Wermelinger,Stephanie,University of Zurich,weltentdecker-zurich,,Y,,,,,,,,,,
Bergmann,Christina,Max Planck Institute for Psycholinguistics,,,,,,M,,,,M,M,,
Werker,Janet,University of British Columbia,infantstudies-ubc,Natural Sciences and Engineering Research Council of Canada (2015-03967),Y,,,,,,S,,,,
Black,Alexis,University of British Columbia,,,Y,,,,,,S,,M,,
Killam,Hilary,Concordia University,irl-concordia,,,,,,,,,,,,M (manuscript references in BibTex plus proofreading)
Kosie,Jessica,Princeton University,babylab_princeton,,Y,,,,,,,S,,,I wasn't yet in the Princeton Baby Lab when the lab submitted data.
Mani,Nivedita,University of Goettingen,wsi-goettingen,Leibniz ScienceCampus Primate Cognition seed funds,Y,,,,,,M,,,,
Melanie S.,Schreiner,Max Planck Institute for Human Cognitive and Brain Sciences; University of Leipzig; University of Goettingen,wsi-goettingen,Leibniz ScienceCampus Primate Cognition seed funds,Y,,,,,,M,,,,
