lab,institution
babylabbrookes,Oxford Brookes University
babylabkingswood,Western Sydney University
babylabparisdescartes1,Universite Paris Descartes
cdcceu,Central European University
lllliv,University of Liverpool
lscppsl,Ecole Normale Superieure
nusinfantlanguagecentre,National University of Singapore
weltentdeckerzurich,University of Zurich
wsigoettingen,University of Goettingen
isplabmcgill,McGill University
bllumanitoba,University of Manitoba
infantstudiesubc,University of British Columbia (Werker)
irlconcordia,Concordia University
babylabprinceton,Princeton University
langlabucla,University of California Los Angeles 
ldlottawa,University of Ottawa
infantcogubc,University of British Columbia (Hamlin)
