lab,lab_nae
babylabbrookes,Oxford Brookes University
babylabkingswood,Western Sydney University
babylabparisdescartes1,Université Paris Descartes
cdcceu,Central European University
lllliv,University of Liverpool
lscppsl,École Normale Supérieure
nusinfantlanguagecentre,National University of Singapore
weltentdeckerzurich,University of Zurich
wsigoettingen,University of Goettingen
isplabmcgill,McGill University
bllumanitoba,University of Manitoba
infantstudiesubc,University of British Columbia
irlconcordia,Concordia University
babylabprinceton,Princeton University
langlabucla,University of California Los Angeles 
ldlottawa,University of Ottawa
infantcogubc,University of British Columbia
