lab,subid,fussiness_kind,trials_recoded_as_error,
babylabbrookes,babylabbrookes_mb95,global fussiness,no,
babylabnijmegen,babylabnijmegen_ba04912,global fussiness,no,
babylabnijmegen,babylabnijmegen_ba11912,global fussiness,no,
babylabnijmegen,babylabnijmegen_ba2169,global fussiness,no,
babylabnijmegen,babylabnijmegen_ba21912,global fussiness,no,
babylabnijmegen,babylabnijmegen_ba23912,global fussiness,no,
babylabnijmegen,babylabnijmegen_ba2469,global fussiness,no,
babylabnijmegen,babylabnijmegen_ba2569,global fussiness,no,
babylabnijmegen,babylabnijmegen_ba25912,global fussiness,no,
babylabnijmegen,babylabnijmegen_ba26912,global fussiness,no,
babylabnijmegen,babylabnijmegen_ba27912,global fussiness,no,
babylabnijmegen,babylabnijmegen_ba29912,global fussiness,no,
babylabreading,babylabreading_mb3,global fussiness,no,
babylabuclajohnson,babylabuclajohnson_10055,global fussiness,yes,
babylabuclajohnson,babylabuclajohnson_10586,global fussiness,yes,
cfnuofn,cfnuofn_cfn009,no trials contributed,no,
cfnuofn,cfnuofn_cfn021,no trials contributed,no,
cfnuofn,cfnuofn_cfn041,no trials contributed,no,
cfnuofn,cfnuofn_cfnzkb,no trials contributed,no,
chosunbaby,chosunbaby_h01o01,no trials contributed,no,
chosunbaby,chosunbaby_h03o02,no trials contributed,no,
chosunbaby,chosunbaby_h04y02,no trials contributed,no,
chosunbaby,chosunbaby_h05y03,no trials contributed,no,
chosunbaby,chosunbaby_h18y14,no trials contributed,no,
chosunbaby,chosunbaby_h19y15,no trials contributed,no,
chosunbaby,chosunbaby_h24o05,no trials contributed,no,
chosunbaby,chosunbaby_h26o07,no trials contributed,no,
chosunbaby,chosunbaby_h28y21,no trials contributed,no,
chosunbaby,chosunbaby_h34o10,no trials contributed,no,
chosunbaby,chosunbaby_h37o12,no trials contributed,no,
chosunbaby,chosunbaby_h54y37,no trials contributed,no,
chosunbaby,chosunbaby_h69y47,no trials contributed,no,
infantcogubc,infantcogubc_ff08,no trials contributed,no,
infantcogubc,infantcogubc_tp13,global fussiness,yes,
isplabmcgill,isplabmcgill_m19,no trials contributed,no,
lcduleeds,lcduleeds_mb13,global fussiness,no,
ldlottawa,ldlottawa_mbms68,global fussiness,no,
lscppsl,lscppsl_28lscppsl,no trials contributed,no,
madlabucsd,madlabucsd_mb14,global fussiness,no,
minddevlabbicocca,minddevlabbicocca_mb04,global fussiness,yes,
pocdnorthwestern,pocdnorthwestern_mb17,no trials contributed,no,
pocdnorthwestern,pocdnorthwestern_mb27,no trials contributed,no,
pocdnorthwestern,pocdnorthwestern_mb36,no trials contributed,no,
trainorlab,trainorlab_s28,global fussiness,no,
udssaarland,udssaarland_3,global fussiness,yes,
udssaarland,udssaarland_20,global fussiness,yes,
udssaarland,udssaarland_46,global fussiness,yes,
udssaarland,udssaarland_64,global fussiness,yes,
weltentdeckerzurich,weltentdeckerzurich_mb13968,no trials contributed,no,weltentdeckerzurich_weltentdeckerzurich_mb13968
