subid,lab,trial_num,trial_type,stimulus_num,looking_time,trial_error,method,age_days,session_error,lang_group,lang1,lang1_exposure,lang2,lang2_exposure,lang3,lang3_exposure,lang4,lang4_exposure,gender,pilot,bilingual_exposure,comm_lang_learn,monolingual_exposure,td,full_term,session_error_type_recoded,trial_error_recoded,nae,nae_exp,SES,age_mo,age_group,out_of_age,usable_pair,short_lt
babylabkingswood_mb8187,babylabkingswood,1,ADS,1,7.2,FALSE,hpp,422,FALSE,bilingual,english,71,tagalog,29,na,0,na,0,M,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,0,18,13.86447638603696,12-15 mo,FALSE,FALSE,FALSE
babylabkingswood_mb8187,babylabkingswood,2,IDS,1,3.82,FALSE,hpp,422,FALSE,bilingual,english,71,tagalog,29,na,0,na,0,M,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,0,18,13.86447638603696,12-15 mo,FALSE,FALSE,FALSE
babylabkingswood_mb8187,babylabkingswood,3,ADS,2,4.56,FALSE,hpp,422,FALSE,bilingual,english,71,tagalog,29,na,0,na,0,M,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,0,18,13.86447638603696,12-15 mo,FALSE,FALSE,FALSE
babylabkingswood_mb8187,babylabkingswood,4,IDS,2,5.42,FALSE,hpp,422,FALSE,bilingual,english,71,tagalog,29,na,0,na,0,M,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,0,18,13.86447638603696,12-15 mo,FALSE,FALSE,FALSE
babylabkingswood_mb8187,babylabkingswood,5,IDS,3,NA,FALSE,hpp,422,FALSE,bilingual,english,71,tagalog,29,na,0,na,0,M,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,0,18,13.86447638603696,12-15 mo,FALSE,FALSE,NA
babylabkingswood_mb8187,babylabkingswood,6,ADS,3,4.81,FALSE,hpp,422,FALSE,bilingual,english,71,tagalog,29,na,0,na,0,M,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,0,18,13.86447638603696,12-15 mo,FALSE,FALSE,FALSE
babylabkingswood_mb8187,babylabkingswood,7,ADS,4,3.65,FALSE,hpp,422,FALSE,bilingual,english,71,tagalog,29,na,0,na,0,M,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,0,18,13.86447638603696,12-15 mo,FALSE,FALSE,FALSE
babylabkingswood_mb8187,babylabkingswood,8,IDS,4,4.27,FALSE,hpp,422,FALSE,bilingual,english,71,tagalog,29,na,0,na,0,M,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,0,18,13.86447638603696,12-15 mo,FALSE,FALSE,FALSE
babylabkingswood_mb8187,babylabkingswood,9,IDS,5,2.93,FALSE,hpp,422,FALSE,bilingual,english,71,tagalog,29,na,0,na,0,M,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,0,18,13.86447638603696,12-15 mo,FALSE,FALSE,FALSE
babylabkingswood_mb8187,babylabkingswood,10,ADS,5,2,FALSE,hpp,422,FALSE,bilingual,english,71,tagalog,29,na,0,na,0,M,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,0,18,13.86447638603696,12-15 mo,FALSE,FALSE,FALSE
babylabkingswood_mb8187,babylabkingswood,11,IDS,6,3.65,FALSE,hpp,422,FALSE,bilingual,english,71,tagalog,29,na,0,na,0,M,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,0,18,13.86447638603696,12-15 mo,FALSE,FALSE,FALSE
babylabkingswood_mb8187,babylabkingswood,12,ADS,6,NA,FALSE,hpp,422,FALSE,bilingual,english,71,tagalog,29,na,0,na,0,M,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,0,18,13.86447638603696,12-15 mo,FALSE,FALSE,NA
babylabkingswood_mb8187,babylabkingswood,13,ADS,7,NA,FALSE,hpp,422,FALSE,bilingual,english,71,tagalog,29,na,0,na,0,M,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,0,18,13.86447638603696,12-15 mo,FALSE,FALSE,NA
babylabkingswood_mb8187,babylabkingswood,14,IDS,7,9.33,FALSE,hpp,422,FALSE,bilingual,english,71,tagalog,29,na,0,na,0,M,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,0,18,13.86447638603696,12-15 mo,FALSE,FALSE,FALSE
babylabkingswood_mb8187,babylabkingswood,15,IDS,8,NA,FALSE,hpp,422,FALSE,bilingual,english,71,tagalog,29,na,0,na,0,M,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,0,18,13.86447638603696,12-15 mo,FALSE,FALSE,NA
babylabkingswood_mb8187,babylabkingswood,16,ADS,8,5.64,FALSE,hpp,422,FALSE,bilingual,english,71,tagalog,29,na,0,na,0,M,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,0,18,13.86447638603696,12-15 mo,FALSE,FALSE,FALSE
babylabkingswood_mb8741,babylabkingswood,1,IDS,5,5.98,FALSE,hpp,366,FALSE,bilingual,english,60,tagalog,40,na,0,na,0,M,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,0,19,12.02464065708419,12-15 mo,FALSE,FALSE,FALSE
babylabkingswood_mb8741,babylabkingswood,2,ADS,5,5.21,FALSE,hpp,366,FALSE,bilingual,english,60,tagalog,40,na,0,na,0,M,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,0,19,12.02464065708419,12-15 mo,FALSE,FALSE,FALSE
