subid,lab,trial_num,stimulus_num,trial_error,method,age_days,session_error,lang_group,lang1,lang1_exposure,lang2,lang2_exposure,lang3,lang3_exposure,lang4,lang4_exposure,gender,pilot,bilingual_exposure,comm_lang_learn,monolingual_exposure,td,full_term,session_error_type_recoded,trial_error_recoded,nae,nae_exp,SES,age_mo,age_group,out_of_age,ADS,IDS,diff
babylabkingswood_mb8187,babylabkingswood,1,1,FALSE,hpp,422,FALSE,bilingual,english,71,tagalog,29,na,0,na,0,M,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,0,18,13.86447638603696,12-15 mo,FALSE,7.2,3.82,-3.3800000000000003
babylabkingswood_mb8187,babylabkingswood,2,2,FALSE,hpp,422,FALSE,bilingual,english,71,tagalog,29,na,0,na,0,M,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,0,18,13.86447638603696,12-15 mo,FALSE,4.56,5.42,0.8600000000000003
babylabkingswood_mb8187,babylabkingswood,3,3,FALSE,hpp,422,FALSE,bilingual,english,71,tagalog,29,na,0,na,0,M,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,0,18,13.86447638603696,12-15 mo,FALSE,4.81,NA,NA
babylabkingswood_mb8187,babylabkingswood,4,4,FALSE,hpp,422,FALSE,bilingual,english,71,tagalog,29,na,0,na,0,M,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,0,18,13.86447638603696,12-15 mo,FALSE,3.65,4.27,0.6199999999999997
babylabkingswood_mb8187,babylabkingswood,5,5,FALSE,hpp,422,FALSE,bilingual,english,71,tagalog,29,na,0,na,0,M,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,0,18,13.86447638603696,12-15 mo,FALSE,2,2.93,0.9300000000000002
babylabkingswood_mb8187,babylabkingswood,6,6,FALSE,hpp,422,FALSE,bilingual,english,71,tagalog,29,na,0,na,0,M,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,0,18,13.86447638603696,12-15 mo,FALSE,NA,3.65,NA
babylabkingswood_mb8187,babylabkingswood,7,7,FALSE,hpp,422,FALSE,bilingual,english,71,tagalog,29,na,0,na,0,M,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,0,18,13.86447638603696,12-15 mo,FALSE,NA,9.33,NA
babylabkingswood_mb8187,babylabkingswood,8,8,FALSE,hpp,422,FALSE,bilingual,english,71,tagalog,29,na,0,na,0,M,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,0,18,13.86447638603696,12-15 mo,FALSE,5.64,NA,NA
babylabkingswood_mb8741,babylabkingswood,1,5,FALSE,hpp,366,FALSE,bilingual,english,60,tagalog,40,na,0,na,0,M,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,0,19,12.02464065708419,12-15 mo,FALSE,5.21,5.98,0.7700000000000005
babylabkingswood_mb8741,babylabkingswood,2,7,FALSE,hpp,366,FALSE,bilingual,english,60,tagalog,40,na,0,na,0,M,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,0,19,12.02464065708419,12-15 mo,FALSE,6.67,6.75,0.08000000000000007
