lab,subid,subid_unique,trial_order,trial_num,stimulus_num,method,age_days,age_mo,age_group,nae,gender,second_session,missing,parenta_gender,parentb_gender,parenta_education,parentb_education,bilingual_nae,lang2,lang3,lang4,bilingual_parenta_nae,bilingual_parentb_nae,bilingual_interview_lang,lang_group,SES,nae_exp,trial_error,session_error,lang1,lang1_exposure,lang2_exposure,lang3_exposure,lang4_exposure,pilot,bilingual_exposure,comm_lang_learn,monolingual_exposure,td,full_term,session_error_type_recoded,trial_error_recoded,out_of_age,ADS,IDS,diff,lab_age
babylabbrookes,mb03_babylabbrookes,babylabbrookes:mb03,3,1,5,singlescreen,214,7.030800821355236,6-9 mo,FALSE,F,FALSE,FALSE,FALSE,M,18,20,NA,NA,NA,NA,NA,NA,NA,monolingual,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.32,9.33,5.01,babylabbrookes 6-9 mo
babylabbrookes,mb04_babylabbrookes,babylabbrookes:mb04,4,1,5,singlescreen,271,8.903490759753593,6-9 mo,FALSE,F,FALSE,FALSE,FALSE,M,18,18,NA,NA,NA,NA,NA,NA,NA,monolingual,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.47,7.79,-5.680000000000001,babylabbrookes 6-9 mo
babylabbrookes,mb100_babylabbrookes,babylabbrookes:mb100,2,1,1,singlescreen,419,13.765913757700206,12-15 mo,FALSE,M,FALSE,FALSE,FALSE,M,18,18,NA,NA,NA,NA,NA,NA,NA,monolingual,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.344,6.152,0.8079999999999998,babylabbrookes 12-15 mo
babylabbrookes,mb103_babylabbrookes,babylabbrookes:mb103,2,1,1,singlescreen,368,12.09034907597536,12-15 mo,FALSE,F,FALSE,FALSE,FALSE,M,16,18,NA,NA,NA,NA,NA,NA,NA,monolingual,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.601,8.2,-6.401000000000002,babylabbrookes 12-15 mo
babylabbrookes,mb104_babylabbrookes,babylabbrookes:mb104,4,1,5,singlescreen,402,13.207392197125257,12-15 mo,FALSE,F,FALSE,FALSE,FALSE,M,16,16,NA,NA,NA,NA,NA,NA,NA,monolingual,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.744,3.264,-6.48,babylabbrookes 12-15 mo
babylabbrookes,mb14_babylabbrookes,babylabbrookes:mb14,2,1,1,singlescreen,406,13.338809034907598,12-15 mo,FALSE,M,FALSE,FALSE,FALSE,M,16,12,NA,NA,NA,NA,NA,NA,NA,monolingual,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.26,18,6.74,babylabbrookes 12-15 mo
babylabbrookes,mb15_babylabbrookes,babylabbrookes:mb15,3,1,5,singlescreen,445,14.620123203285422,12-15 mo,FALSE,M,FALSE,FALSE,FALSE,M,16,18,NA,NA,NA,NA,NA,NA,NA,monolingual,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,18,0,babylabbrookes 12-15 mo
babylabbrookes,mb18_babylabbrookes,babylabbrookes:mb18,2,1,1,singlescreen,392,12.878850102669405,12-15 mo,FALSE,M,FALSE,FALSE,FALSE,M,16,16,NA,NA,NA,NA,NA,NA,NA,monolingual,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.89,7.98,2.0900000000000007,babylabbrookes 12-15 mo
babylabbrookes,mb20_babylabbrookes,babylabbrookes:mb20,4,1,5,singlescreen,424,13.930184804928132,12-15 mo,FALSE,F,FALSE,FALSE,FALSE,M,16,12,NA,NA,NA,NA,NA,NA,NA,monolingual,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.19,11.85,0.6600000000000001,babylabbrookes 12-15 mo
babylabbrookes,mb28_babylabbrookes,babylabbrookes:mb28,1,1,1,singlescreen,395,12.97741273100616,12-15 mo,FALSE,F,FALSE,FALSE,FALSE,M,16,18,NA,NA,NA,NA,NA,NA,NA,monolingual,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.68,13.35,7.67,babylabbrookes 12-15 mo
babylabbrookes,mb35_babylabbrookes,babylabbrookes:mb35,1,1,1,singlescreen,188,6.176591375770021,6-9 mo,FALSE,F,FALSE,FALSE,FALSE,M,16,18,NA,NA,NA,NA,NA,NA,NA,monolingual,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.62,9.87,2.249999999999999,babylabbrookes 6-9 mo
babylabbrookes,mb36_babylabbrookes,babylabbrookes:mb36,3,1,5,singlescreen,216,7.096509240246407,6-9 mo,FALSE,F,FALSE,FALSE,FALSE,M,17,12,NA,NA,NA,NA,NA,NA,NA,monolingual,17,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.92,8.88,1.9600000000000009,babylabbrookes 6-9 mo
babylabbrookes,mb42_babylabbrookes,babylabbrookes:mb42,2,1,1,singlescreen,228,7.490759753593429,6-9 mo,FALSE,M,FALSE,FALSE,FALSE,M,18,18,NA,NA,NA,NA,NA,NA,NA,monolingual,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.36,17.66,0.3000000000000007,babylabbrookes 6-9 mo
babylabbrookes,mb45_babylabbrookes,babylabbrookes:mb45,1,1,1,singlescreen,212,6.965092402464066,6-9 mo,FALSE,M,FALSE,FALSE,FALSE,M,20,17,NA,NA,NA,NA,NA,NA,NA,monolingual,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.31,17.15,-0.16000000000000014,babylabbrookes 6-9 mo
babylabbrookes,mb46_babylabbrookes,babylabbrookes:mb46,1,1,1,singlescreen,445,14.620123203285422,12-15 mo,FALSE,F,FALSE,FALSE,FALSE,M,12,16,NA,NA,NA,NA,NA,NA,NA,monolingual,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.23,17.44,11.21,babylabbrookes 12-15 mo
babylabbrookes,mb48_babylabbrookes,babylabbrookes:mb48,4,1,5,singlescreen,269,8.837782340862423,6-9 mo,FALSE,NA,FALSE,FALSE,FALSE,M,20,18,NA,NA,NA,NA,NA,NA,NA,monolingual,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.55,17.59,0.03999999999999915,babylabbrookes 6-9 mo
babylabbrookes,mb50_babylabbrookes,babylabbrookes:mb50,2,1,1,singlescreen,255,8.37782340862423,6-9 mo,FALSE,F,FALSE,FALSE,FALSE,M,18,18,NA,NA,NA,NA,NA,NA,NA,monolingual,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.74,14.2,7.459999999999999,babylabbrookes 6-9 mo
babylabbrookes,mb53_babylabbrookes,babylabbrookes:mb53,4,1,5,singlescreen,453,14.882956878850102,12-15 mo,FALSE,F,FALSE,FALSE,FALSE,M,16,20,NA,NA,NA,NA,NA,NA,NA,monolingual,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.54,2.97,0.43000000000000016,babylabbrookes 12-15 mo
babylabbrookes,mb54_babylabbrookes,babylabbrookes:mb54,1,1,1,singlescreen,199,6.537987679671458,6-9 mo,FALSE,F,FALSE,FALSE,FALSE,M,12,NA,NA,NA,NA,NA,NA,NA,NA,monolingual,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.65,13.4,6.75,babylabbrookes 6-9 mo
babylabbrookes,mb55_babylabbrookes,babylabbrookes:mb55,2,1,1,singlescreen,424,13.930184804928132,12-15 mo,FALSE,M,FALSE,FALSE,FALSE,M,20,18,NA,NA,NA,NA,NA,NA,NA,monolingual,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.59,17.51,-0.0799999999999983,babylabbrookes 12-15 mo
babylabbrookes,mb60_babylabbrookes,babylabbrookes:mb60,3,1,1,singlescreen,375,12.320328542094456,12-15 mo,FALSE,M,FALSE,FALSE,FALSE,M,18,20,NA,NA,NA,NA,NA,NA,NA,monolingual,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.43,5.62,1.1900000000000004,babylabbrookes 12-15 mo
babylabbrookes,mb66_babylabbrookes,babylabbrookes:mb66,2,1,1,singlescreen,409,13.437371663244353,12-15 mo,FALSE,F,FALSE,FALSE,FALSE,M,18,18,NA,NA,NA,NA,NA,NA,NA,monolingual,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,9.2,6.299999999999999,babylabbrookes 12-15 mo
babylabbrookes,mb74_babylabbrookes,babylabbrookes:mb74,1,1,1,singlescreen,446,14.652977412731007,12-15 mo,FALSE,F,FALSE,FALSE,FALSE,M,16,20,NA,NA,NA,NA,NA,NA,NA,monolingual,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.69,13.85,9.16,babylabbrookes 12-15 mo
babylabbrookes,mb77_babylabbrookes,babylabbrookes:mb77,1,1,1,singlescreen,193,6.3408624229979464,6-9 mo,FALSE,M,FALSE,FALSE,FALSE,M,20,20,NA,NA,NA,NA,NA,NA,NA,monolingual,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.41,9.06,0.6500000000000004,babylabbrookes 6-9 mo
babylabbrookes,mb78_babylabbrookes,babylabbrookes:mb78,2,1,1,singlescreen,234,7.687885010266941,6-9 mo,FALSE,M,FALSE,FALSE,FALSE,M,16,10,NA,NA,NA,NA,NA,NA,NA,monolingual,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.43,17.55,0.120000000000001,babylabbrookes 6-9 mo
babylabbrookes,mb79_babylabbrookes,babylabbrookes:mb79,3,1,5,singlescreen,218,7.162217659137577,6-9 mo,FALSE,M,FALSE,FALSE,FALSE,M,12,10,NA,NA,NA,NA,NA,NA,NA,monolingual,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.52,6.44,1.9200000000000008,babylabbrookes 6-9 mo
babylabbrookes,mb80_babylabbrookes,babylabbrookes:mb80,4,1,5,singlescreen,270,8.870636550308008,6-9 mo,FALSE,F,FALSE,FALSE,FALSE,M,18,20,NA,NA,NA,NA,NA,NA,NA,monolingual,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.18,7.7,0.5200000000000005,babylabbrookes 6-9 mo
babylabbrookes,mb84_babylabbrookes,babylabbrookes:mb84,2,1,1,singlescreen,422,13.86447638603696,12-15 mo,FALSE,F,FALSE,FALSE,FALSE,M,12,10,NA,NA,NA,NA,NA,NA,NA,monolingual,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.72,3.7,-1.0199999999999996,babylabbrookes 12-15 mo
babylabbrookes,mb88_babylabbrookes,babylabbrookes:mb88,4,1,5,singlescreen,381,12.517453798767967,12-15 mo,FALSE,F,FALSE,FALSE,FALSE,M,16,20,NA,NA,NA,NA,NA,NA,NA,monolingual,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.19,3.56,-4.629999999999999,babylabbrookes 12-15 mo
babylabbrookes,mb90_babylabbrookes,babylabbrookes:mb90,2,1,1,singlescreen,262,8.607802874743326,6-9 mo,FALSE,M,FALSE,FALSE,FALSE,M,18,18,NA,NA,NA,NA,NA,NA,NA,monolingual,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.66,12.83,1.17,babylabbrookes 6-9 mo
babylabkingswood,mb1255_babylabkingswood,babylabkingswood:mb1255,2,1,1,hpp,449,14.751540041067761,12-15 mo,FALSE,M,FALSE,FALSE,FALSE,M,15,16,NA,NA,NA,NA,NA,NA,NA,monolingual,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,babylabkingswood 12-15 mo
babylabkingswood,mb1882_babylabkingswood,babylabkingswood:mb1882,4,1,5,hpp,401,13.174537987679672,12-15 mo,FALSE,M,FALSE,FALSE,FALSE,M,16,15,NA,NA,NA,NA,NA,NA,NA,monolingual,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.492,18,6.507999999999999,babylabkingswood 12-15 mo
babylabkingswood,mb1920_babylabkingswood,babylabkingswood:mb1920,1,1,1,hpp,413,13.568788501026694,12-15 mo,FALSE,M,FALSE,FALSE,FALSE,M,15,12,NA,NA,NA,NA,NA,NA,NA,monolingual,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.053,5.333,-11.72,babylabkingswood 12-15 mo
babylabkingswood,mb8156_babylabkingswood,babylabkingswood:mb8156,1,1,1,hpp,232,7.62217659137577,6-9 mo,FALSE,F,FALSE,FALSE,FALSE,M,18,17,NA,NA,NA,NA,NA,NA,NA,monolingual,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.987,8.198,-0.7889999999999997,babylabkingswood 6-9 mo
babylabkingswood,mb8168_babylabkingswood,babylabkingswood:mb8168,1,1,1,hpp,261,8.574948665297741,6-9 mo,FALSE,M,FALSE,FALSE,FALSE,M,16,15,NA,NA,NA,NA,NA,NA,NA,monolingual,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,11.332,-6.667999999999999,babylabkingswood 6-9 mo
babylabkingswood,mb8253_babylabkingswood,babylabkingswood:mb8253,4,1,5,hpp,193,6.3408624229979464,6-9 mo,FALSE,M,FALSE,FALSE,FALSE,M,16,15,NA,NA,NA,NA,NA,NA,NA,monolingual,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.506,5.808,-1.6980000000000004,babylabkingswood 6-9 mo
babylabkingswood,mb8259_babylabkingswood,babylabkingswood:mb8259,4,1,5,hpp,191,6.275154004106776,6-9 mo,FALSE,F,FALSE,FALSE,FALSE,M,15,19,NA,NA,NA,NA,NA,NA,NA,monolingual,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.218,6.685,2.4669999999999996,babylabkingswood 6-9 mo
babylabkingswood,mb8339_babylabkingswood,babylabkingswood:mb8339,2,1,1,hpp,207,6.80082135523614,6-9 mo,FALSE,M,FALSE,FALSE,FALSE,M,16,16,NA,NA,NA,NA,NA,NA,NA,monolingual,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.436,2.586,0.1499999999999999,babylabkingswood 6-9 mo
