lab,subid,trial_type,stimulus,trial_num,looking_time,total_trial_time,trial_error,trial_error_type,notes
ispdevlab-mcgill,b01,training,train1,-2,17.74,17.97,noerror,NA,
ispdevlab-mcgill,b01,training,train2,-1,15.59,17.99,noerror,NA,
ispdevlab-mcgill,b01,IDS,IDS1,1,16.69,18,noerror,NA,
ispdevlab-mcgill,b01,ADS,ADS1,2,12.75,18,noerror,NA,
ispdevlab-mcgill,b01,IDS,IDS2,3,7.29,11.52,noerror,NA,
ispdevlab-mcgill,b01,ADS,ADS2,4,6.91,9.52,noerror,NA,
ispdevlab-mcgill,b01,ADS,ADS3,5,7.3,10.97,noerror,NA,
ispdevlab-mcgill,b01,IDS,IDS3,6,3.75,6.35,noerror,NA,
ispdevlab-mcgill,b01,IDS,IDS4,7,3.03,5.58,noerror,NA,
ispdevlab-mcgill,b01,ADS,ADS4,8,3.15,5.79,noerror,NA,
ispdevlab-mcgill,b01,ADS,ADS5,9,3.39,5.92,noerror,NA,
ispdevlab-mcgill,b01,IDS,IDS5,10,5.03,7.57,noerror,NA,
ispdevlab-mcgill,b01,ADS,ADS6,11,1.62,4.17,noerror,NA,
ispdevlab-mcgill,b01,IDS,IDS6,12,4.94,7.55,noerror,NA,
ispdevlab-mcgill,b01,IDS,IDS7,13,3.3,5.82,noerror,NA,
ispdevlab-mcgill,b01,ADS,ADS7,14,7.74,10.11,noerror,NA,
ispdevlab-mcgill,b01,ADS,ADS8,15,7.38,10.92,noerror,NA,
ispdevlab-mcgill,b01,IDS,IDS8,16,4.86,7.39,noerror,NA,
ispdevlab-mcgill,b02,training,train1,-2,15.03,18.04,noerror,NA,
ispdevlab-mcgill,b02,training,train2,-1,10.14,15.11,noerror,NA,
ispdevlab-mcgill,b02,ADS,ADS1,1,14.01,16.01,noerror,NA,
ispdevlab-mcgill,b02,IDS,IDS1,2,6.09,8.09,noerror,NA,
ispdevlab-mcgill,b02,ADS,ADS2,3,3.9,5.9,noerror,NA,
ispdevlab-mcgill,b02,IDS,IDS2,4,8.74,10.74,noerror,NA,
