lab,subid,trial_type,stimulus,trial_num,looking_time,total_trial_time,trial_error,trial_error_type,notes
lscp-psl,1lscp-psl,ADS,ADS1,4,818,4816,noerror,NA,NC
lscp-psl,1lscp-psl,ADS,ADS2,6,1734,5245,noerror,NA,NC
lscp-psl,1lscp-psl,ADS,ADS3,7,2145,4324,noerror,NA,NC
lscp-psl,1lscp-psl,ADS,ADS4,10,0,2009,noerror,NA,NC
lscp-psl,1lscp-psl,ADS,ADS5,11,0,2019,noerror,NA,NC
lscp-psl,1lscp-psl,ADS,ADS6,13,1904,4149,noerror,NA,NC
lscp-psl,1lscp-psl,ADS,ADS7,16,0,2010,noerror,NA,NC
lscp-psl,1lscp-psl,ADS,ADS8,17,0,2008,noerror,NA,NC
lscp-psl,1lscp-psl,IDS,IDS1,3,3880,6475,noerror,NA,NC
lscp-psl,1lscp-psl,IDS,IDS2,5,5432,8709,noerror,NA,NC
lscp-psl,1lscp-psl,IDS,IDS3,8,10505,13065,noerror,NA,NC
lscp-psl,1lscp-psl,IDS,IDS4,9,1812,6000,noerror,NA,NC
lscp-psl,1lscp-psl,IDS,IDS5,12,4936,9741,noerror,NA,NC
lscp-psl,1lscp-psl,IDS,IDS6,14,2509,4693,noerror,NA,NC
lscp-psl,1lscp-psl,IDS,IDS7,15,0,2009,noerror,NA,NC
lscp-psl,1lscp-psl,IDS,IDS8,18,0,2015,noerror,NA,NC
lscp-psl,1lscp-psl,training,training,1,9190,13154,noerror,NA,NC
lscp-psl,1lscp-psl,training,training,2,2394,4420,noerror,NA,NC
lscp-psl,2lscp-psl,ADS,ADS1,3,10289,15976,noerror,NA,NC
lscp-psl,2lscp-psl,ADS,ADS2,5,0,2017,noerror,NA,NC
lscp-psl,2lscp-psl,ADS,ADS3,8,0,2015,noerror,NA,NC
lscp-psl,2lscp-psl,ADS,ADS4,9,0,2009,noerror,NA,NC
lscp-psl,2lscp-psl,ADS,ADS5,12,2770,8111,noerror,NA,NC
lscp-psl,2lscp-psl,ADS,ADS6,14,0,2010,noerror,NA,NC
lscp-psl,2lscp-psl,ADS,ADS7,15,0,2014,noerror,NA,NC
lscp-psl,2lscp-psl,ADS,ADS8,18,0,2008,noerror,NA,NC
lscp-psl,2lscp-psl,IDS,IDS1,4,5551,15679,noerror,NA,NC
lscp-psl,2lscp-psl,IDS,IDS2,6,598,4300,noerror,NA,NC
lscp-psl,2lscp-psl,IDS,IDS3,7,0,2010,noerror,NA,NC
lscp-psl,2lscp-psl,IDS,IDS4,10,0,5297,noerror,NA,NC
lscp-psl,2lscp-psl,IDS,IDS5,11,2354,6122,noerror,NA,NC
lscp-psl,2lscp-psl,IDS,IDS6,13,522,3221,noerror,NA,NC
lscp-psl,2lscp-psl,IDS,IDS7,16,714,5302,noerror,NA,NC
lscp-psl,2lscp-psl,IDS,IDS8,17,0,2014,noerror,NA,NC
lscp-psl,2lscp-psl,training,training,1,5243,9900,noerror,NA,NC
lscp-psl,2lscp-psl,training,training,2,5052,7568,noerror,NA,NC
lscp-psl,5lscp-psl,ADS,ADS1,4,9228,16174,noerror,NA,NC
lscp-psl,5lscp-psl,ADS,ADS2,6,2842,7481,noerror,NA,NC
lscp-psl,5lscp-psl,ADS,ADS3,7,2789,8833,noerror,NA,NC
