lab;subid;trial_type;stimulus;trial_num;looking_time;total_trial_time;trial_error;trial_error_type;notes
wsi-goettingen;B101;training;training;-2;17.39;NC;noerror;NA;NA
wsi-goettingen;B101;training;training;-1;16.52;NC;noerror;NA;NA
wsi-goettingen;B101;IDS;IDS1;1;5.94;NC;noerror;NA;NA
wsi-goettingen;B101;ADS;ADS1;2;4.2;NC;noerror;NA;NA
wsi-goettingen;B101;IDS;IDS2;3;5.24;NC;noerror;NA;NA
wsi-goettingen;B101;ADS;ADS2;4;15.58;NC;noerror;NA;NA
wsi-goettingen;B101;ADS;ADS3;5;6.17;NC;noerror;NA;NA
wsi-goettingen;B101;IDS;IDS3;6;7.44;NC;noerror;NA;NA
wsi-goettingen;B101;IDS;IDS4;7;12.14;NC;noerror;NA;NA
wsi-goettingen;B101;ADS;ADS4;8;16.93;NC;noerror;NA;NA
wsi-goettingen;B101;ADS;ADS5;9;16.92;NC;noerror;NA;NA
wsi-goettingen;B101;IDS;IDS5;10;17.44;NC;noerror;NA;NA
wsi-goettingen;B101;ADS;ADS6;11;17.4;NC;noerror;NA;NA
wsi-goettingen;B101;IDS;IDS6;12;9.66;NC;noerror;NA;NA
wsi-goettingen;B101;IDS;IDS7;13;16.47;NC;noerror;NA;NA
wsi-goettingen;B101;ADS;ADS7;14;15.86;NC;noerror;NA;NA
wsi-goettingen;B101;ADS;ADS8;15;9.01;NC;noerror;NA;NA
wsi-goettingen;B101;IDS;IDS8;16;16.63;NC;noerror;NA;NA
wsi-goettingen;B102;training;training;-2;16.43;NC;noerror;NA;NA
wsi-goettingen;B102;training;training;-1;17.59;NC;noerror;NA;NA
wsi-goettingen;B102;ADS;ADS1;1;17.49;NC;noerror;NA;NA
wsi-goettingen;B102;IDS;IDS1;2;17.23;NC;noerror;NA;NA
wsi-goettingen;B102;ADS;ADS2;3;17.7;NC;noerror;NA;NA
wsi-goettingen;B102;IDS;IDS2;4;16.85;NC;noerror;NA;NA
wsi-goettingen;B102;IDS;IDS3;5;17.06;NC;noerror;NA;NA
wsi-goettingen;B102;ADS;ADS3;6;11.06;NC;noerror;NA;NA
wsi-goettingen;B102;ADS;ADS4;7;8.73;NC;noerror;NA;NA
wsi-goettingen;B102;IDS;IDS4;8;6.87;NC;noerror;NA;NA
wsi-goettingen;B102;IDS;IDS5;9;5.13;NC;noerror;NA;NA
wsi-goettingen;B102;ADS;ADS5;10;7.94;NC;noerror;NA;NA
wsi-goettingen;B102;IDS;IDS6;11;5.09;NC;noerror;NA;NA
wsi-goettingen;B102;ADS;ADS6;12;11.32;NC;noerror;NA;NA
wsi-goettingen;B102;ADS;ADS7;13;9.22;NC;noerror;NA;NA
wsi-goettingen;B102;IDS;IDS7;14;8.08;NC;noerror;NA;NA
wsi-goettingen;B102;IDS;IDS8;15;7.36;NC;noerror;NA;NA
wsi-goettingen;B102;ADS;ADS8;16;15.99;NC;noerror;NA;NA
wsi-goettingen;B103;training;training;-2;17.1;NC;error;parental interference;child was attentive to father (he filmed)
wsi-goettingen;B103;training;training;-1;13.71;NC;error;parental interference;child was attentive to father (he filmed)
wsi-goettingen;B103;IDS;IDS5;1;8.97;NC;error;parental interference;child was attentive to father (he filmed)
